max_x : 50821, max_y: 50750, min_x: -50472, min_y: -50499
max_x : 50586, max_y: 50515, min_x: -50237, min_y: -50264
max_x : 50581, max_y: 50510, min_x: -50232, min_y: -50259
max_x : 50576, max_y: 50505, min_x: -50227, min_y: -50254
max_x : 50571, max_y: 50500, min_x: -50222, min_y: -50249
max_x : 50566, max_y: 50495, min_x: -50217, min_y: -50244
max_x : 50561, max_y: 50490, min_x: -50212, min_y: -50239
max_x : 50556, max_y: 50485, min_x: -50207, min_y: -50234
max_x : 50551, max_y: 50480, min_x: -50202, min_y: -50229
max_x : 50546, max_y: 50475, min_x: -50197, min_y: -50224
max_x : 50541, max_y: 50470, min_x: -50192, min_y: -50219
max_x : 50536, max_y: 50465, min_x: -50187, min_y: -50214
max_x : 50531, max_y: 50460, min_x: -50182, min_y: -50209
max_x : 50526, max_y: 50455, min_x: -50177, min_y: -50204
max_x : 50521, max_y: 50450, min_x: -50172, min_y: -50199
max_x : 50516, max_y: 50445, min_x: -50167, min_y: -50194
max_x : 50511, max_y: 50440, min_x: -50162, min_y: -50189
max_x : 50506, max_y: 50435, min_x: -50157, min_y: -50184
max_x : 50501, max_y: 50430, min_x: -50152, min_y: -50179
max_x : 50496, max_y: 50425, min_x: -50147, min_y: -50174
max_x : 50491, max_y: 50420, min_x: -50142, min_y: -50169
max_x : 50486, max_y: 50415, min_x: -50137, min_y: -50164
max_x : 50481, max_y: 50410, min_x: -50132, min_y: -50159
max_x : 50476, max_y: 50405, min_x: -50127, min_y: -50154
max_x : 50471, max_y: 50400, min_x: -50122, min_y: -50149
max_x : 50466, max_y: 50395, min_x: -50117, min_y: -50144
max_x : 50461, max_y: 50390, min_x: -50112, min_y: -50139
max_x : 50456, max_y: 50385, min_x: -50107, min_y: -50134
max_x : 50451, max_y: 50380, min_x: -50102, min_y: -50129
max_x : 50446, max_y: 50375, min_x: -50097, min_y: -50124
max_x : 50441, max_y: 50370, min_x: -50092, min_y: -50119
max_x : 50436, max_y: 50365, min_x: -50087, min_y: -50114
max_x : 50431, max_y: 50360, min_x: -50082, min_y: -50109
max_x : 50426, max_y: 50355, min_x: -50077, min_y: -50104
max_x : 50421, max_y: 50350, min_x: -50072, min_y: -50099
max_x : 50416, max_y: 50345, min_x: -50067, min_y: -50094
max_x : 50411, max_y: 50340, min_x: -50062, min_y: -50089
max_x : 50406, max_y: 50335, min_x: -50057, min_y: -50084
max_x : 50401, max_y: 50330, min_x: -50052, min_y: -50079
max_x : 50396, max_y: 50325, min_x: -50047, min_y: -50074
max_x : 50391, max_y: 50320, min_x: -50042, min_y: -50069
max_x : 50386, max_y: 50315, min_x: -50037, min_y: -50064
max_x : 50381, max_y: 50310, min_x: -50032, min_y: -50059
max_x : 50376, max_y: 50305, min_x: -50027, min_y: -50054
max_x : 50371, max_y: 50300, min_x: -50022, min_y: -50049
max_x : 50366, max_y: 50295, min_x: -50017, min_y: -50044
max_x : 50361, max_y: 50290, min_x: -50012, min_y: -50039
max_x : 50356, max_y: 50285, min_x: -50007, min_y: -50034
max_x : 50351, max_y: 50280, min_x: -50002, min_y: -50029
max_x : 50346, max_y: 50275, min_x: -49997, min_y: -50024
max_x : 50341, max_y: 50270, min_x: -49992, min_y: -50019
max_x : 50336, max_y: 50265, min_x: -49987, min_y: -50014
max_x : 50331, max_y: 50260, min_x: -49982, min_y: -50009
max_x : 50326, max_y: 50255, min_x: -49977, min_y: -50004
max_x : 50321, max_y: 50250, min_x: -49972, min_y: -49999
max_x : 50316, max_y: 50245, min_x: -49967, min_y: -49994
max_x : 50311, max_y: 50240, min_x: -49962, min_y: -49989
max_x : 50306, max_y: 50235, min_x: -49957, min_y: -49984
max_x : 50301, max_y: 50230, min_x: -49952, min_y: -49979
max_x : 50296, max_y: 50225, min_x: -49947, min_y: -49974
max_x : 50291, max_y: 50220, min_x: -49942, min_y: -49969
max_x : 50286, max_y: 50215, min_x: -49937, min_y: -49964
max_x : 50281, max_y: 50210, min_x: -49932, min_y: -49959
max_x : 50276, max_y: 50205, min_x: -49927, min_y: -49954
max_x : 50271, max_y: 50200, min_x: -49922, min_y: -49949
max_x : 50266, max_y: 50195, min_x: -49917, min_y: -49944
max_x : 50261, max_y: 50190, min_x: -49912, min_y: -49939
max_x : 50256, max_y: 50185, min_x: -49907, min_y: -49934
max_x : 50251, max_y: 50180, min_x: -49902, min_y: -49929
max_x : 50246, max_y: 50175, min_x: -49897, min_y: -49924
max_x : 50241, max_y: 50170, min_x: -49892, min_y: -49919
max_x : 50236, max_y: 50165, min_x: -49887, min_y: -49914
max_x : 50231, max_y: 50160, min_x: -49882, min_y: -49909
max_x : 50226, max_y: 50155, min_x: -49877, min_y: -49904
max_x : 50221, max_y: 50150, min_x: -49872, min_y: -49899
max_x : 50216, max_y: 50145, min_x: -49867, min_y: -49894
max_x : 50211, max_y: 50140, min_x: -49862, min_y: -49889
max_x : 50206, max_y: 50135, min_x: -49857, min_y: -49884
max_x : 50201, max_y: 50130, min_x: -49852, min_y: -49879
max_x : 50196, max_y: 50125, min_x: -49847, min_y: -49874
max_x : 50191, max_y: 50120, min_x: -49842, min_y: -49869
max_x : 50186, max_y: 50115, min_x: -49837, min_y: -49864
max_x : 50181, max_y: 50110, min_x: -49832, min_y: -49859
max_x : 50176, max_y: 50105, min_x: -49827, min_y: -49854
max_x : 50171, max_y: 50100, min_x: -49822, min_y: -49849
max_x : 50166, max_y: 50095, min_x: -49817, min_y: -49844
max_x : 50161, max_y: 50090, min_x: -49812, min_y: -49839
max_x : 50156, max_y: 50085, min_x: -49807, min_y: -49834
max_x : 50151, max_y: 50080, min_x: -49802, min_y: -49829
max_x : 50146, max_y: 50075, min_x: -49797, min_y: -49824
max_x : 50141, max_y: 50070, min_x: -49792, min_y: -49819
max_x : 50136, max_y: 50065, min_x: -49787, min_y: -49814
max_x : 50131, max_y: 50060, min_x: -49782, min_y: -49809
max_x : 50126, max_y: 50055, min_x: -49777, min_y: -49804
max_x : 50121, max_y: 50050, min_x: -49772, min_y: -49799
max_x : 50116, max_y: 50045, min_x: -49767, min_y: -49794
max_x : 50111, max_y: 50040, min_x: -49762, min_y: -49789
max_x : 50106, max_y: 50035, min_x: -49757, min_y: -49784
max_x : 50101, max_y: 50030, min_x: -49752, min_y: -49779
max_x : 50096, max_y: 50025, min_x: -49747, min_y: -49774
max_x : 50091, max_y: 50020, min_x: -49742, min_y: -49769
max_x : 50086, max_y: 50015, min_x: -49737, min_y: -49764
max_x : 50081, max_y: 50010, min_x: -49732, min_y: -49759
max_x : 50076, max_y: 50005, min_x: -49727, min_y: -49754
max_x : 50071, max_y: 50000, min_x: -49722, min_y: -49749
max_x : 50066, max_y: 49995, min_x: -49717, min_y: -49744
max_x : 50061, max_y: 49990, min_x: -49712, min_y: -49739
max_x : 50056, max_y: 49985, min_x: -49707, min_y: -49734
max_x : 50051, max_y: 49980, min_x: -49702, min_y: -49729
max_x : 50046, max_y: 49975, min_x: -49697, min_y: -49724
max_x : 50041, max_y: 49970, min_x: -49692, min_y: -49719
max_x : 50036, max_y: 49965, min_x: -49687, min_y: -49714
max_x : 50031, max_y: 49960, min_x: -49682, min_y: -49709
max_x : 50026, max_y: 49955, min_x: -49677, min_y: -49704
max_x : 50021, max_y: 49950, min_x: -49672, min_y: -49699
max_x : 50016, max_y: 49945, min_x: -49667, min_y: -49694
max_x : 50011, max_y: 49940, min_x: -49662, min_y: -49689
max_x : 50006, max_y: 49935, min_x: -49657, min_y: -49684
max_x : 50001, max_y: 49930, min_x: -49652, min_y: -49679
max_x : 49996, max_y: 49925, min_x: -49647, min_y: -49674
max_x : 49991, max_y: 49920, min_x: -49642, min_y: -49669
max_x : 49986, max_y: 49915, min_x: -49637, min_y: -49664
max_x : 49981, max_y: 49910, min_x: -49632, min_y: -49659
max_x : 49976, max_y: 49905, min_x: -49627, min_y: -49654
max_x : 49971, max_y: 49900, min_x: -49622, min_y: -49649
max_x : 49966, max_y: 49895, min_x: -49617, min_y: -49644
max_x : 49961, max_y: 49890, min_x: -49612, min_y: -49639
max_x : 49956, max_y: 49885, min_x: -49607, min_y: -49634
max_x : 49951, max_y: 49880, min_x: -49602, min_y: -49629
max_x : 49946, max_y: 49875, min_x: -49597, min_y: -49624
max_x : 49941, max_y: 49870, min_x: -49592, min_y: -49619
max_x : 49936, max_y: 49865, min_x: -49587, min_y: -49614
max_x : 49931, max_y: 49860, min_x: -49582, min_y: -49609
max_x : 49926, max_y: 49855, min_x: -49577, min_y: -49604
max_x : 49921, max_y: 49850, min_x: -49572, min_y: -49599
max_x : 49916, max_y: 49845, min_x: -49567, min_y: -49594
max_x : 49911, max_y: 49840, min_x: -49562, min_y: -49589
max_x : 49906, max_y: 49835, min_x: -49557, min_y: -49584
max_x : 49901, max_y: 49830, min_x: -49552, min_y: -49579
max_x : 49896, max_y: 49825, min_x: -49547, min_y: -49574
max_x : 49891, max_y: 49820, min_x: -49542, min_y: -49569
max_x : 49886, max_y: 49815, min_x: -49537, min_y: -49564
max_x : 49881, max_y: 49810, min_x: -49532, min_y: -49559
max_x : 49876, max_y: 49805, min_x: -49527, min_y: -49554
max_x : 49871, max_y: 49800, min_x: -49522, min_y: -49549
max_x : 49866, max_y: 49795, min_x: -49517, min_y: -49544
max_x : 49861, max_y: 49790, min_x: -49512, min_y: -49539
max_x : 49856, max_y: 49785, min_x: -49507, min_y: -49534
max_x : 49851, max_y: 49780, min_x: -49502, min_y: -49529
max_x : 49846, max_y: 49775, min_x: -49497, min_y: -49524
max_x : 49841, max_y: 49770, min_x: -49492, min_y: -49519
max_x : 49836, max_y: 49765, min_x: -49487, min_y: -49514
max_x : 49831, max_y: 49760, min_x: -49482, min_y: -49509
max_x : 49826, max_y: 49755, min_x: -49477, min_y: -49504
max_x : 49821, max_y: 49750, min_x: -49472, min_y: -49499
max_x : 49816, max_y: 49745, min_x: -49467, min_y: -49494
max_x : 49811, max_y: 49740, min_x: -49462, min_y: -49489
max_x : 49806, max_y: 49735, min_x: -49457, min_y: -49484
max_x : 49801, max_y: 49730, min_x: -49452, min_y: -49479
max_x : 49796, max_y: 49725, min_x: -49447, min_y: -49474
max_x : 49791, max_y: 49720, min_x: -49442, min_y: -49469
max_x : 49786, max_y: 49715, min_x: -49437, min_y: -49464
max_x : 49781, max_y: 49710, min_x: -49432, min_y: -49459
max_x : 49776, max_y: 49705, min_x: -49427, min_y: -49454
max_x : 49771, max_y: 49700, min_x: -49422, min_y: -49449
max_x : 49766, max_y: 49695, min_x: -49417, min_y: -49444
max_x : 49761, max_y: 49690, min_x: -49412, min_y: -49439
max_x : 49756, max_y: 49685, min_x: -49407, min_y: -49434
max_x : 49751, max_y: 49680, min_x: -49402, min_y: -49429
max_x : 49746, max_y: 49675, min_x: -49397, min_y: -49424
max_x : 49741, max_y: 49670, min_x: -49392, min_y: -49419
max_x : 49736, max_y: 49665, min_x: -49387, min_y: -49414
max_x : 49731, max_y: 49660, min_x: -49382, min_y: -49409
max_x : 49726, max_y: 49655, min_x: -49377, min_y: -49404
max_x : 49721, max_y: 49650, min_x: -49372, min_y: -49399
max_x : 49716, max_y: 49645, min_x: -49367, min_y: -49394
max_x : 49711, max_y: 49640, min_x: -49362, min_y: -49389
max_x : 49706, max_y: 49635, min_x: -49357, min_y: -49384
max_x : 49701, max_y: 49630, min_x: -49352, min_y: -49379
max_x : 49696, max_y: 49625, min_x: -49347, min_y: -49374
max_x : 49691, max_y: 49620, min_x: -49342, min_y: -49369
max_x : 49686, max_y: 49615, min_x: -49337, min_y: -49364
max_x : 49681, max_y: 49610, min_x: -49332, min_y: -49359
max_x : 49676, max_y: 49605, min_x: -49327, min_y: -49354
max_x : 49671, max_y: 49600, min_x: -49322, min_y: -49349
max_x : 49666, max_y: 49595, min_x: -49317, min_y: -49344
max_x : 49661, max_y: 49590, min_x: -49312, min_y: -49339
max_x : 49656, max_y: 49585, min_x: -49307, min_y: -49334
max_x : 49651, max_y: 49580, min_x: -49302, min_y: -49329
max_x : 49646, max_y: 49575, min_x: -49297, min_y: -49324
max_x : 49641, max_y: 49570, min_x: -49292, min_y: -49319
max_x : 49636, max_y: 49565, min_x: -49287, min_y: -49314
max_x : 49631, max_y: 49560, min_x: -49282, min_y: -49309
max_x : 49626, max_y: 49555, min_x: -49277, min_y: -49304
max_x : 49621, max_y: 49550, min_x: -49272, min_y: -49299
max_x : 49616, max_y: 49545, min_x: -49267, min_y: -49294
max_x : 49611, max_y: 49540, min_x: -49262, min_y: -49289
max_x : 49606, max_y: 49535, min_x: -49257, min_y: -49284
max_x : 49601, max_y: 49530, min_x: -49252, min_y: -49279
max_x : 49596, max_y: 49525, min_x: -49247, min_y: -49274
max_x : 49591, max_y: 49520, min_x: -49242, min_y: -49269
max_x : 49586, max_y: 49515, min_x: -49237, min_y: -49264
max_x : 49581, max_y: 49510, min_x: -49232, min_y: -49259
max_x : 49576, max_y: 49505, min_x: -49227, min_y: -49254
max_x : 49571, max_y: 49500, min_x: -49222, min_y: -49249
max_x : 49566, max_y: 49495, min_x: -49217, min_y: -49244
max_x : 49561, max_y: 49490, min_x: -49212, min_y: -49239
max_x : 49556, max_y: 49485, min_x: -49207, min_y: -49234
max_x : 49551, max_y: 49480, min_x: -49202, min_y: -49229
max_x : 49546, max_y: 49475, min_x: -49197, min_y: -49224
max_x : 49541, max_y: 49470, min_x: -49192, min_y: -49219
max_x : 49536, max_y: 49465, min_x: -49187, min_y: -49214
max_x : 49531, max_y: 49460, min_x: -49182, min_y: -49209
max_x : 49526, max_y: 49455, min_x: -49177, min_y: -49204
max_x : 49521, max_y: 49450, min_x: -49172, min_y: -49199
max_x : 49516, max_y: 49445, min_x: -49167, min_y: -49194
max_x : 49511, max_y: 49440, min_x: -49162, min_y: -49189
max_x : 49506, max_y: 49435, min_x: -49157, min_y: -49184
max_x : 49501, max_y: 49430, min_x: -49152, min_y: -49179
max_x : 49496, max_y: 49425, min_x: -49147, min_y: -49174
max_x : 49491, max_y: 49420, min_x: -49142, min_y: -49169
max_x : 49486, max_y: 49415, min_x: -49137, min_y: -49164
max_x : 49481, max_y: 49410, min_x: -49132, min_y: -49159
max_x : 49476, max_y: 49405, min_x: -49127, min_y: -49154
max_x : 49471, max_y: 49400, min_x: -49122, min_y: -49149
max_x : 49466, max_y: 49395, min_x: -49117, min_y: -49144
max_x : 49461, max_y: 49390, min_x: -49112, min_y: -49139
max_x : 49456, max_y: 49385, min_x: -49107, min_y: -49134
max_x : 49451, max_y: 49380, min_x: -49102, min_y: -49129
max_x : 49446, max_y: 49375, min_x: -49097, min_y: -49124
max_x : 49441, max_y: 49370, min_x: -49092, min_y: -49119
max_x : 49436, max_y: 49365, min_x: -49087, min_y: -49114
max_x : 49431, max_y: 49360, min_x: -49082, min_y: -49109
max_x : 49426, max_y: 49355, min_x: -49077, min_y: -49104
max_x : 49421, max_y: 49350, min_x: -49072, min_y: -49099
max_x : 49416, max_y: 49345, min_x: -49067, min_y: -49094
max_x : 49411, max_y: 49340, min_x: -49062, min_y: -49089
max_x : 49406, max_y: 49335, min_x: -49057, min_y: -49084
max_x : 49401, max_y: 49330, min_x: -49052, min_y: -49079
max_x : 49396, max_y: 49325, min_x: -49047, min_y: -49074
max_x : 49391, max_y: 49320, min_x: -49042, min_y: -49069
max_x : 49386, max_y: 49315, min_x: -49037, min_y: -49064
max_x : 49381, max_y: 49310, min_x: -49032, min_y: -49059
max_x : 49376, max_y: 49305, min_x: -49027, min_y: -49054
max_x : 49371, max_y: 49300, min_x: -49022, min_y: -49049
max_x : 49366, max_y: 49295, min_x: -49017, min_y: -49044
max_x : 49361, max_y: 49290, min_x: -49012, min_y: -49039
max_x : 49356, max_y: 49285, min_x: -49007, min_y: -49034
max_x : 49351, max_y: 49280, min_x: -49002, min_y: -49029
max_x : 49346, max_y: 49275, min_x: -48997, min_y: -49024
max_x : 49341, max_y: 49270, min_x: -48992, min_y: -49019
max_x : 49336, max_y: 49265, min_x: -48987, min_y: -49014
max_x : 49331, max_y: 49260, min_x: -48982, min_y: -49009
max_x : 49326, max_y: 49255, min_x: -48977, min_y: -49004
max_x : 49321, max_y: 49250, min_x: -48972, min_y: -48999
max_x : 49316, max_y: 49245, min_x: -48967, min_y: -48994
max_x : 49311, max_y: 49240, min_x: -48962, min_y: -48989
max_x : 49306, max_y: 49235, min_x: -48957, min_y: -48984
max_x : 49301, max_y: 49230, min_x: -48952, min_y: -48979
max_x : 49296, max_y: 49225, min_x: -48947, min_y: -48974
max_x : 49291, max_y: 49220, min_x: -48942, min_y: -48969
max_x : 49286, max_y: 49215, min_x: -48937, min_y: -48964
max_x : 49281, max_y: 49210, min_x: -48932, min_y: -48959
max_x : 49276, max_y: 49205, min_x: -48927, min_y: -48954
max_x : 49271, max_y: 49200, min_x: -48922, min_y: -48949
max_x : 49266, max_y: 49195, min_x: -48917, min_y: -48944
max_x : 49261, max_y: 49190, min_x: -48912, min_y: -48939
max_x : 49256, max_y: 49185, min_x: -48907, min_y: -48934
max_x : 49251, max_y: 49180, min_x: -48902, min_y: -48929
max_x : 49246, max_y: 49175, min_x: -48897, min_y: -48924
max_x : 49241, max_y: 49170, min_x: -48892, min_y: -48919
max_x : 49236, max_y: 49165, min_x: -48887, min_y: -48914
max_x : 49231, max_y: 49160, min_x: -48882, min_y: -48909
max_x : 49226, max_y: 49155, min_x: -48877, min_y: -48904
max_x : 49221, max_y: 49150, min_x: -48872, min_y: -48899
max_x : 49216, max_y: 49145, min_x: -48867, min_y: -48894
max_x : 49211, max_y: 49140, min_x: -48862, min_y: -48889
max_x : 49206, max_y: 49135, min_x: -48857, min_y: -48884
max_x : 49201, max_y: 49130, min_x: -48852, min_y: -48879
max_x : 49196, max_y: 49125, min_x: -48847, min_y: -48874
max_x : 49191, max_y: 49120, min_x: -48842, min_y: -48869
max_x : 49186, max_y: 49115, min_x: -48837, min_y: -48864
max_x : 49181, max_y: 49110, min_x: -48832, min_y: -48859
max_x : 49176, max_y: 49105, min_x: -48827, min_y: -48854
max_x : 49171, max_y: 49100, min_x: -48822, min_y: -48849
max_x : 49166, max_y: 49095, min_x: -48817, min_y: -48844
max_x : 49161, max_y: 49090, min_x: -48812, min_y: -48839
max_x : 49156, max_y: 49085, min_x: -48807, min_y: -48834
max_x : 49151, max_y: 49080, min_x: -48802, min_y: -48829
max_x : 49146, max_y: 49075, min_x: -48797, min_y: -48824
max_x : 49141, max_y: 49070, min_x: -48792, min_y: -48819
max_x : 49136, max_y: 49065, min_x: -48787, min_y: -48814
max_x : 49131, max_y: 49060, min_x: -48782, min_y: -48809
max_x : 49126, max_y: 49055, min_x: -48777, min_y: -48804
max_x : 49121, max_y: 49050, min_x: -48772, min_y: -48799
max_x : 49116, max_y: 49045, min_x: -48767, min_y: -48794
max_x : 49111, max_y: 49040, min_x: -48762, min_y: -48789
max_x : 49106, max_y: 49035, min_x: -48757, min_y: -48784
max_x : 49101, max_y: 49030, min_x: -48752, min_y: -48779
max_x : 49096, max_y: 49025, min_x: -48747, min_y: -48774
max_x : 49091, max_y: 49020, min_x: -48742, min_y: -48769
max_x : 49086, max_y: 49015, min_x: -48737, min_y: -48764
max_x : 49081, max_y: 49010, min_x: -48732, min_y: -48759
max_x : 49076, max_y: 49005, min_x: -48727, min_y: -48754
max_x : 49071, max_y: 49000, min_x: -48722, min_y: -48749
max_x : 49066, max_y: 48995, min_x: -48717, min_y: -48744
max_x : 49061, max_y: 48990, min_x: -48712, min_y: -48739
max_x : 49056, max_y: 48985, min_x: -48707, min_y: -48734
max_x : 49051, max_y: 48980, min_x: -48702, min_y: -48729
max_x : 49046, max_y: 48975, min_x: -48697, min_y: -48724
max_x : 49041, max_y: 48970, min_x: -48692, min_y: -48719
max_x : 49036, max_y: 48965, min_x: -48687, min_y: -48714
max_x : 49031, max_y: 48960, min_x: -48682, min_y: -48709
max_x : 49026, max_y: 48955, min_x: -48677, min_y: -48704
max_x : 49021, max_y: 48950, min_x: -48672, min_y: -48699
max_x : 49016, max_y: 48945, min_x: -48667, min_y: -48694
max_x : 49011, max_y: 48940, min_x: -48662, min_y: -48689
max_x : 49006, max_y: 48935, min_x: -48657, min_y: -48684
max_x : 49001, max_y: 48930, min_x: -48652, min_y: -48679
max_x : 48996, max_y: 48925, min_x: -48647, min_y: -48674
max_x : 48991, max_y: 48920, min_x: -48642, min_y: -48669
max_x : 48986, max_y: 48915, min_x: -48637, min_y: -48664
max_x : 48981, max_y: 48910, min_x: -48632, min_y: -48659
max_x : 48976, max_y: 48905, min_x: -48627, min_y: -48654
max_x : 48971, max_y: 48900, min_x: -48622, min_y: -48649
max_x : 48966, max_y: 48895, min_x: -48617, min_y: -48644
max_x : 48961, max_y: 48890, min_x: -48612, min_y: -48639
max_x : 48956, max_y: 48885, min_x: -48607, min_y: -48634
max_x : 48951, max_y: 48880, min_x: -48602, min_y: -48629
max_x : 48946, max_y: 48875, min_x: -48597, min_y: -48624
max_x : 48941, max_y: 48870, min_x: -48592, min_y: -48619
max_x : 48936, max_y: 48865, min_x: -48587, min_y: -48614
max_x : 48931, max_y: 48860, min_x: -48582, min_y: -48609
max_x : 48926, max_y: 48855, min_x: -48577, min_y: -48604
max_x : 48921, max_y: 48850, min_x: -48572, min_y: -48599
max_x : 48916, max_y: 48845, min_x: -48567, min_y: -48594
max_x : 48911, max_y: 48840, min_x: -48562, min_y: -48589
max_x : 48906, max_y: 48835, min_x: -48557, min_y: -48584
max_x : 48901, max_y: 48830, min_x: -48552, min_y: -48579
max_x : 48896, max_y: 48825, min_x: -48547, min_y: -48574
max_x : 48891, max_y: 48820, min_x: -48542, min_y: -48569
max_x : 48886, max_y: 48815, min_x: -48537, min_y: -48564
max_x : 48881, max_y: 48810, min_x: -48532, min_y: -48559
max_x : 48876, max_y: 48805, min_x: -48527, min_y: -48554
max_x : 48871, max_y: 48800, min_x: -48522, min_y: -48549
max_x : 48866, max_y: 48795, min_x: -48517, min_y: -48544
max_x : 48861, max_y: 48790, min_x: -48512, min_y: -48539
max_x : 48856, max_y: 48785, min_x: -48507, min_y: -48534
max_x : 48851, max_y: 48780, min_x: -48502, min_y: -48529
max_x : 48846, max_y: 48775, min_x: -48497, min_y: -48524
max_x : 48841, max_y: 48770, min_x: -48492, min_y: -48519
max_x : 48836, max_y: 48765, min_x: -48487, min_y: -48514
max_x : 48831, max_y: 48760, min_x: -48482, min_y: -48509
max_x : 48826, max_y: 48755, min_x: -48477, min_y: -48504
max_x : 48821, max_y: 48750, min_x: -48472, min_y: -48499
max_x : 48816, max_y: 48745, min_x: -48467, min_y: -48494
max_x : 48811, max_y: 48740, min_x: -48462, min_y: -48489
max_x : 48806, max_y: 48735, min_x: -48457, min_y: -48484
max_x : 48801, max_y: 48730, min_x: -48452, min_y: -48479
max_x : 48796, max_y: 48725, min_x: -48447, min_y: -48474
max_x : 48791, max_y: 48720, min_x: -48442, min_y: -48469
max_x : 48786, max_y: 48715, min_x: -48437, min_y: -48464
max_x : 48781, max_y: 48710, min_x: -48432, min_y: -48459
max_x : 48776, max_y: 48705, min_x: -48427, min_y: -48454
max_x : 48771, max_y: 48700, min_x: -48422, min_y: -48449
max_x : 48766, max_y: 48695, min_x: -48417, min_y: -48444
max_x : 48761, max_y: 48690, min_x: -48412, min_y: -48439
max_x : 48756, max_y: 48685, min_x: -48407, min_y: -48434
max_x : 48751, max_y: 48680, min_x: -48402, min_y: -48429
max_x : 48746, max_y: 48675, min_x: -48397, min_y: -48424
max_x : 48741, max_y: 48670, min_x: -48392, min_y: -48419
max_x : 48736, max_y: 48665, min_x: -48387, min_y: -48414
max_x : 48731, max_y: 48660, min_x: -48382, min_y: -48409
max_x : 48726, max_y: 48655, min_x: -48377, min_y: -48404
max_x : 48721, max_y: 48650, min_x: -48372, min_y: -48399
max_x : 48716, max_y: 48645, min_x: -48367, min_y: -48394
max_x : 48711, max_y: 48640, min_x: -48362, min_y: -48389
max_x : 48706, max_y: 48635, min_x: -48357, min_y: -48384
max_x : 48701, max_y: 48630, min_x: -48352, min_y: -48379
max_x : 48696, max_y: 48625, min_x: -48347, min_y: -48374
max_x : 48691, max_y: 48620, min_x: -48342, min_y: -48369
max_x : 48686, max_y: 48615, min_x: -48337, min_y: -48364
max_x : 48681, max_y: 48610, min_x: -48332, min_y: -48359
max_x : 48676, max_y: 48605, min_x: -48327, min_y: -48354
max_x : 48671, max_y: 48600, min_x: -48322, min_y: -48349
max_x : 48666, max_y: 48595, min_x: -48317, min_y: -48344
max_x : 48661, max_y: 48590, min_x: -48312, min_y: -48339
max_x : 48656, max_y: 48585, min_x: -48307, min_y: -48334
max_x : 48651, max_y: 48580, min_x: -48302, min_y: -48329
max_x : 48646, max_y: 48575, min_x: -48297, min_y: -48324
